Filename,XPath,Suspicious Number,Context 
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[29]/did/unittitle, 1891-1940,"<persname>Donaldson, Bruce McNaughton, 1891-1940.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[30]/did/unittitle, 1860-1940,"<persname>D'Ooge, Benjamin Leonard, 1860-1940.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[31]/did/unittitle, 1839-1915,"<persname>D'Ooge, Martin Luther, 1839-1915.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[34]/did/unittitle, 1816-1890,"<persname>Douglas, Silas Hamilton, 1816-1890.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[35]/did/unittitle, 1868-1946,"<persname>Dow, Earle Wilbur, 1868-1946.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[37]/did/unittitle, 1860-1947,"<persname>Drake, Joseph Horace, 1860-1947.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[38]/did/unittitle, 1824-1909,"<persname>DuBois, Alfred, 1824-1909.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[40]/did/unittitle, 1881-1979,"<persname>Dunham, Fred Sylvester, 1881-1979.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[43]/did/unittitle, 1834-1888,"<persname>Dunster, Edward Swift, 1834-1888.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[44]/did/unittitle, 1882-1958,"<persname>Durfee, Edgar Noble, 1882-1958.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[47]/did/unittitle, 1886-1948,"<persname>Eaton, John Wallace, 1886-1948.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[49]/did/unittitle, 1882-1954,"<persname>Edmonson, James Bartlett, 1882-1954.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[50]/did/unittitle, 1873-1941,"<persname>Edmunds, Charles Wallis, 1873-1941.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[52]/did/unittitle, 1869-1933,"<persname>Effinger, John Robert, 1869-1933.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[64]/did/unittitle, 1831-1917,"<persname>Evans, Edward Payson, 1831-1917.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[67]/did/unittitle, 1872-1947,"<persname>Fairlie, John Archibald, 1872-1947.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[68]/did/unittitle, 1865-1933,"<persname>Farrell, Stephen John, 1865-1933.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[69]/did/unittitle, 1808-1862,"<persname>Fasquelle, Louis, 1808-1862.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[71]/did/unittitle, 1804-1896,"<persname>Felch, Alpheus, 1804-1896.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[73]/did/unittitle, 1885-1934,"<persname>Fessenden, Charles Horace, 1885-1934.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[77]/did/unittitle, 1849-1938,"<persname>Finney, Byron Alfred, 1849-1938.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[79]/did/unittitle, 1869-1958,"<persname>Florer, Warren Washburn, 1869-1958.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[82]/did/unittitle, 1885-1960,"<persname>Forsythe, Warren Ellsworth, 1885-1960.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[88]/did/unittitle, 1862-1912,"<persname>Freer, Paul Caspar, 1862-1912.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[92]/did/unittitle, 1817-1889,"<persname>Frieze, Henry S. (Henry Simmons), 1817-1889.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[93]/did/unittitle, 1836-1900,"<persname>Frothingham, George Edward, 1836-1900.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[94]/did/unittitle, 1890-1969,"<persname>Furstenberg, Albert Carl, 1890-1969.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[97]/did/unittitle, 1850-1910,"<persname>Gatchell, Charles, 1850-1910.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[101]/did/unittitle, 1858-1932,"<persname>Gayley, Charles Mills, 1858-1932.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[106]/did/unittitle, 1868-1940,"<persname>Gilmore, Melvin R. (Melvin Randolph), 1868-1940.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[109]/did/unittitle, 1868-1941,"<persname>Glover, James Waterman, 1868-1941.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[110]/did/unittitle, 1865-1942,"<persname>Goddard, Edwin Charles, 1865-1942.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[111]/did/unittitle, 1866-1947,"<persname>Gomberg, Moses, 1866-1947.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[114]/did/unittitle, 1897-1971,"<persname>Goodrich, Carter, 1897-1971.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[115]/did/unittitle, 1877-1962,"<persname>Goodrich, Francis Lee Dewey, 1877-1962.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[122]/did/unittitle, 1842-1903,"<persname>Greene, Charles Ezra, 1842-1903.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[125]/did/unittitle, 1895-1973,"<persname>Greenman, Emerson Frank, 1895-1973.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[127]/did/unittitle, 1837-1906,"<persname>Griffin, Levi Thomas, 1837-1906.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[134]/did/unittitle, 1866-1915,"<persname>Guthe, Karl Eugen, 1866-1915.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[138]/did/unittitle, 1859-1930,"<persname>Hall, Asaph, 1859-1930.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[139]/did/unittitle, 1860-1941,"<persname>Hall, Louis Phillips, 1860-1941.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[141]/did/unittitle, 1896-1975,"<persname>Hall, Robert Burnett, 1896-1975.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[145]/did/unittitle, 1885-1939,"<persname>Handman, Max Sylvius, 1885-1939.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[147]/did/unittitle, 1848-1926,"<persname>Harrington, Mark Walrod, 1848-1926.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[150]/did/unittitle, 1820-1881,"<persname>Haven, Erastus Otis, 1820-1881.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[152]/did/unittitle, 1887-1945,"<persname>Hayden, Joseph Ralston, 1887-1945.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[154]/did/unittitle, 1878-1959,"<persname>H&#233;brard, Jean, 1878-1959.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[157]/did/unittitle, 1859-1921,"<persname>Hempl, George, 1859-1921.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[158]/did/unittitle, 1866-1899,"<persname>Hench, George Allison, 1866-1899.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[159]/did/unittitle, 1866-1944,"<persname>Henderson, William D., 1866-1944.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[161]/did/unittitle, 1846-1914,"<persname>Hennequin, Alfred, 1846-1914.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[164]/did/unittitle, 1833-1916,"<persname>Hilgard, Eugene W. (Eugene Woldemar), 1833-1916.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[166]/did/unittitle, 1851-1944,"<persname>Hinsdale, W. B. (Wilbert B.), 1851-1944.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[167]/did/unittitle, 1874-1962,"<persname>Hoad, William Christian, 1874-1962.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[169]/did/unittitle, 1854-1926,"<persname>Hoff, Neville Soule, 1854-1926.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[170]/did/unittitle, 1875-1932,"<persname>Holbrook, Evans, 1875-1932.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[174]/did/unittitle, 1861-1917,"<persname>Hopkins, Anderson Hoyt, 1861-1917. [UAm only]</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[176]/did/unittitle, 1901-1978,"<persname>Housel, William S. (William Stuart), 1901-1978.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[179]/did/unittitle, 1865-1934,"<persname>Huber, Gotthelf Carl, 1865-1934.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[180]/did/unittitle, 1845-1915,"<persname>Hudson, Richard, 1845-1915.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[184]/did/unittitle, 1862-1926,"<persname>Hussey, William Joseph, 1862-1926.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[185]/did/unittitle, 1847-1930,"<persname>Hutchins, Harry Burns, 1847-1930.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[2]/c03[186]/did/unittitle, 1892-1958,"<persname>Huxford, Walter Scott, 1892-1958.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[1]/did/unittitle, 1876-1954,"<persname>Jackson, George Leroy, 1876-1954.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[5]/did/unittitle, 1868-1947,"<persname>Jennings, Herbert Spencer, 1868-1947.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[8]/did/unittitle, 1861-1933,"<persname>Johnson, Elias Finley, 1861-1933.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[10]/did/unittitle, 1839-1912,"<persname>Johnson, Otis Coe, 1839-1912.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[11]/did/unittitle, 1872-1970,"<persname>Johnston, Clarence Thomas, 1872-1970.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[15]/did/unittitle, 1870-1944,"<persname>Jones, Edward David, 1870-1944.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[16]/did/unittitle, 1832-1888,"<persname>Jones, Elisha, 1832-1888.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[18]/did/unittitle, 1834-1912,"<persname>Jones, Samuel Arthur, 1834-1912.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[19]/did/unittitle, 1857-1946,"<persname>Jordan, Frederick Parker, 1857-1946.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[22]/did/unittitle, 1878-1956,"<persname>Karpinski, Louis Charles, 1878-1956.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[24]/did/unittitle, 1889-1964,"<persname>Keeler, Hugh Edward, 1889-1964.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[27]/did/unittitle, 1858-1927,"<persname>Kelsey, Francis Willey, 1858-1927.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[28]/did/unittitle, 1835-1917,"<persname>Kent, Charles Artemas, 1835-1917.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[32]/did/unittitle, 1851-1924,"<persname>Kinyon, Claudius Bligh, 1851-1924.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[33]/did/unittitle, 1846-1920,"<persname>Kirchner, Otto, 1846-1920.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[34]/did/unittitle, 1850-1916,"<persname>Knowlton, Jerome Cyril, 1850-1916.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[37]/did/unittitle, 1871-1941,"<persname>Koch, Theodore Wesley, 1871-1941.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[42]/did/unittitle, 1852-1930,"<persname>Lane, Victor Hugo, 1852-1930.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[43]/did/unittitle, 1841-1918,"<persname>Langley, John Williams, 1841-1918.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[45]/did/unittitle, 1882-1967,"<persname>LaRue, George Roger, 1882-1967.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[46]/did/unittitle, 1835-1909,"<persname>Lawton, Charles DeWitt, 1835-1909.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[47]/did/unittitle, 1873-1938,"<persname>Lee, Alfred Oughton, 1873-1938.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[49]/did/unittitle, 1859-1943,"<persname>Leverett, Frank, 1859-1943.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[52]/did/unittitle, 1862-1942,"<persname>Lichty, David Martin, 1862-1942.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[55]/did/unittitle, 1888-1971,"<persname>Little, Clarence Cook, 1888-1971.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[58]/did/unittitle, 1864-1927,"<persname>Lloyd, Alfred Henry, 1864-1927.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[59]/did/unittitle, 1893-1950,"<persname>Lloyd, Alice Crocker, 1893-1950.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[61]/did/unittitle, 1871-1933,"<persname>Lockwood, Albert Lewis, 1871-1933.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[64]/did/unittitle, 1903-1988,"<persname>Loehr, Max Johannes Joseph, 1903-1988.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[66]/did/unittitle, 1885-1954,"<persname>Lord, Robert Howard, 1885-1954.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[70]/did/unittitle, 1874-1935,"<persname>Lyons, Chalmers John, 1874-1935.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[71]/did/unittitle, 1837-1894,"<persname>Lyster, Henry Francis, 1837-1894.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[73]/did/unittitle, 1847-1915,"<persname>McAlvay, Aaron Vance, 1847-1915.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[76]/did/unittitle, 1900-1982,"<persname>McClusky, Howard Y. (Howard Yale), 1900-1982.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[81]/did/unittitle, 1885-1940,"<persname>MacKenzie, Roderick Duncan, 1885-1940.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[83]/did/unittitle, 1861-1947,"<persname>McLaughlin, Andrew Cunningham, 1861-1947.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[84]/did/unittitle, 1901-1965,"<persname>McLaughlin, Dean B. (Dean Benjamin), 1901-1965.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[87]/did/unittitle, 1839-1903,"<persname>MacLean, Donald, 1839-1903.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[88]/did/unittitle, 1859-1939,"<persname>McMurrich, J. Playfair (James Playfair), 1859-1939.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[90]/did/unittitle, 1891-1966,"<persname>Maddy, Joseph, 1891-1966.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[96]/did/unittitle, 1859-1930,"<persname>Markley, Joseph Lybrand, 1859-1930.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[101]/did/unittitle, 1890-1959,"<persname>Mattern, David Earl, 1890-1959.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[105]/did/unittitle, 1872-1948,"<persname>May, George Augustus, 1872-1948.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[106]/did/unittitle, 1868-1967,"<persname>Meader, Clarence Linton, 1868-1967.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[107]/did/unittitle, 1858-1928,"<persname>Mechem, Floyd R. (Floyd Russell), 1858-1928.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[109]/did/unittitle, 1886-1973,"<persname>Menefee, F. N. (Ferdinand Northrup), 1886-1973.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[131]/did/unittitle, 1840-1889,"<persname>Morris, George Sylvester, 1840-1889.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[134]/did/unittitle, 1846-1928,"<persname>Mosher, Eliza, 1846-1928.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[3]/c03[138]/did/unittitle, 1873-1965,"<persname>Murtland, Cleo, 1873-1965.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[2]/did/unittitle, 1847-1921,"<persname>Nancrede, Charles Beylard Guerard de, 1847-1921.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[4]/did/unittitle, 1873-1961,"<persname>Nelson, Joseph Raleigh, 1873-1961.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[9]/did/unittitle, 1858-1927,"<persname>Newcombe, Frederick Charles, 1858-1927.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[11]/did/unittitle, 1891-1980,"<persname>Nordmeyer, Henry W. (Henry Waldemar), 1891-1980.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[14]/did/unittitle, 1864-1957,"<persname>Novy, Frederick George, 1864-1957.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[19]/did/unittitle, 1827-1887,"<persname>Olney, Edward, 1827-1887.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[20]/did/unittitle, 1881-1970,"<persname>O'Neill, James Milton, 1881-1970.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[26]/did/unittitle, 1815-1887,"<persname>Palmer, Alonzo Benjamin, 1815-1887.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[29]/did/unittitle, 1885-1949,"<persname>Parker, DeWitt Henry, 1885-1949.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[32]/did/unittitle, 1902-1969,"<persname>Partridge, Everett Percy, 1902-1969.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[34]/did/unittitle, 1842-1906,"<persname>Pattengill, Albert Henderson, 1842-1906.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[42]/did/unittitle, 1862-1942,"<persname>Peterson, Reuben, 1862-1942.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[44]/did/unittitle, 1838-1904,"<persname>Pettee, William Henry, 1838-1904.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[47]/did/unittitle, 1872-1960,"<persname>Pillsbury, Walter Bowers, 1872-1960.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[48]/did/unittitle, 1899-1960,"<persname>Plumer, James M., 1899-1960.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[50]/did/unittitle, 1863-1934,"<persname>Pollock, James Barkley, 1863-1934.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[53]/did/unittitle, 1832-1905,"<persname>Prescott, Albert Benjamin, 1832-1905.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[54]/did/unittitle, 1905-1956,"<persname>Preuss, Lawrence, 1905-1956.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[55]/did/unittitle, 1880-1964,"<persname>Price, Hereward Thimbleby, 1880-1964.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[60]/did/unittitle, 1890-1951,"<persname>Ramsdell, Willett Forrest, 1890-1951.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[61]/did/unittitle, 1870-1969,"<persname>Randall, Harrison M. (Harrison McAllister), 1870-1969.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[62]/did/unittitle, 1898-1983,"<persname>Ransom, Henry King, 1898-1983.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[63]/did/unittitle, 1868-1944,"<persname>Rebec, George, 1868-1944.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[64]/did/unittitle, 1856-1916,"<persname>Reed, John Oren, 1856-1916.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[65]/did/unittitle, 1872-1942,"<persname>Reeves, Jesse Siddall, 1872-1942.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[67]/did/unittitle, 1861-1942,"<persname>Reighard, Jacob Ellsworth, 1861-1942.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[75]/did/unittitle, 1865-1949,"<persname>Riggs, Henry Earle, 1865-1949.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[77]/did/unittitle, 1884-1963,"<persname>Robbins, Frank Egleston, 1884-1963.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[78]/did/unittitle, 1838-1910,"<persname>Robinson, Stillman Williams, 1838-1910.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[80]/did/unittitle, 1853-1926,"<persname>Rogers, Henry Wade, 1853-1926.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[81]/did/unittitle, 1891-1955,"<persname>Rogers, James Speed, 1891-1955.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[82]/did/unittitle, 1859-1943,"<persname>Rolfe, John Carew, 1859-1943.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[84]/did/unittitle, 1834-1912,"<persname>Rose, Preston Benjamin, 1834-1912.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[87]/did/unittitle, 1858-1925,"<persname>Roth, Filibert, 1858-1925.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[90]/did/unittitle, 1876-1946,"<persname>Rufus, Will Carl, 1876-1946.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[93]/did/unittitle, 1852-1906,"<persname>Russell, Israel Cook, 1852-1906.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[95]/did/unittitle, 1872-1948,"<persname>Sadler, Herbert Charles, 1872-1948.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[98]/did/unittitle, 1810-1877,"<persname>Sager, Abram, 1810-1877.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[99]/did/unittitle, 1868-1956,"<persname>Sanders, Henry Arthur, 1868-1956.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[100]/did/unittitle, 1895-1978,"<persname>Sawyer, Ralph A. (Ralph Alanson), 1895-1978.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[102]/did/unittitle, 1865-1917,"<persname>Schlotterbeck, Julius Otto, 1865-1917.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[107]/did/unittitle, 1887-1950,"<persname>Schorling, Raleigh, 1887-1950.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[109]/did/unittitle, 1860-1931,"<persname>Scott, Fred Newton, 1860-1931.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[110]/did/unittitle, 1877-1955,"<persname>Scott, Irving Day, 1877-1955.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[113]/did/unittitle, 1855-1936,"<persname>Sewall, Henry, 1855-1936.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[114]/did/unittitle, 1895-1957,"<persname>Sharman, Jackson Roger, 1895-1957.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[115]/did/unittitle, 1889-1967,"<persname>Shartel, Burke Woods, 1889-1967.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[117]/did/unittitle, 1881-1961,"<persname>Shull, Aaron Franklin, 1881-1961.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[119]/did/unittitle, 1879-1972,"<persname>Sink, Charles Albert, 1879-1972.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[120]/did/unittitle, 1883-1956,"<persname>Sleator, William Warner, 1883-1956.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[121]/did/unittitle, 1865-1933,"<persname>Slocum, George, 1865-1933.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[128]/did/unittitle, 1875-1959,"<persname>Smith, Shirley Wheeler, 1875-1959.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[130]/did/unittitle, 1832-1922,"<persname>Soule, Harrison, 1832-1922.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[132]/did/unittitle, 1849-1918,"<persname>Spalding, Volney Morgan, 1849-1918.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[133]/did/unittitle, 1831-1900,"<persname>Spence, Adam Knight, 1831-1900.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[136]/did/unittitle, 1851-1932,"<persname>Stanley, Albert Augustus, 1851-1932.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[137]/did/unittitle, 1891-1972,"<persname>Stason, E. Blythe (Edwin Blythe), 1891-1972.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[138]/did/unittitle, 1842-1940,"<persname>Steere, Joseph B. (Joseph Beale), 1842-1940.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[143]/did/unittitle, 1882-1958,"<persname>Stocking, Charles Howard, 1882-1958.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[147]/did/unittitle, 1873-1948,"<persname>Streeter, George Linius, 1873-1948.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[150]/did/unittitle, 1874-1959,"<persname>Sunderland, Edson Read, 1874-1959.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[4]/c03[151]/did/unittitle, 1840-1916,"<persname>Swan, Henry Harrison, 1840-1916.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[5]/c03[1]/did/unittitle, 1820-1903,"<persname>Taft, Jonathan, 1820-1903.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[5]/c03[3]/did/unittitle, 1805-1881,"<persname>Tappan, Henry Philip, 1805-1881.</persname>"
facport.xml,/ead/archdesc/dsc/c01/c02[5]/c03[5]/did/unittitle, 1876-1948,"<persname>Tatlock, John Strong Perry, 1876-1948.</persname>"
